Name,Divisions,Latitude,Longitude,Address,Normal_site,Auto_site,Glamping,Caravan,Restroom,Shower_room,Sink,Homepage
송정솔바람야영장 ,일반야영장,34.7230795,128.023,경남 남해군 미조면 미송로 483,14,0,0,0,2,1,1,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=1797
웨스턴캠프,,36.8329734,127.012013,충청남도 아산시 음봉면 충무로604번길 12 ,14,0,0,0,2,2,2,https://cafe.daum.net/westerncamp
은해사권역 은해로운 휴양마을 캠핑장 ,일반야영장,35.991146,128.8011458,경상북도 영천시 청통면 치일리 ,14,0,0,0,2,2,1,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=2541&viewType=read01
화천 휴캠핑장 ,자동차야영장,38.1187675,127.7240959,강원도 화천군 화천읍 중리 ,14,0,0,0,1,1,2,https://huepark88.modoo.at/
거창 국민여가캠핑장 ,자동차야영장,35.7612032,127.7240007,경상남도 거창군 북상면 덕유월성로 1312-96,14,0,0,0,2,2,2,https://gccamp.kr:59427/index.htm
주작산 별소리캠핑장 ,"일반야영장,글램핑",34.5143097,126.7030382,전남 강진군 신전면 삼인길 102-79,14,0,8,0,2,1,4,http://www.xn--oy2bp0d6yf.kr/
강촌포도펜션&캠핑장,자동차야영장,37.808534,127.5729974,강원도 춘천시 남산면 백양리 ,15,0,0,0,2,2,1,https://podops.modoo.at/
고라데이마을,일반야영장,37.6489313,128.1392439,강원도 횡성군 청일면 봉명리 ,15,0,0,0,1,1,2,https://goraday.modoo.at/
농업회사법인주식회사 긴들마당,일반야영장,37.7487741,128.0607696,강원도 홍천군 화촌면 구룡령로 1199 ,15,0,0,0,2,2,2,https://cafe.naver.com/ginduel
늘푸른펜션캠핑장,일반야영장,37.1078541,128.6755331,강원도 영월군 김삿갓면 내리계곡로 1116-4 ,15,0,0,0,1,1,1,http://www.egreenpension.kr/
다람쥐 쉼터 ,일반야영장,36.0296611,127.3485769,전라북도 완주군 운주면 금고당로 1016 ,15,0,0,0,2,2,2,http://www.daramg.kr/
마방캠핑장 ,일반야영장,36.9895827,128.9605563,경상북도 봉화군 소천면 고선리 510,15,0,0,0,1,1,1,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=1016&viewType=read01
캠핑플래닛 (구 명덕 관광농원),"일반야영장,글램핑",37.8868061,127.2853634,경기도 포천시 화현면 명덕리 ,15,0,16,0,1,1,1,https://gocamping.or.kr/bsite/camp/info/read.do?c_no=1057
밤별생각 낮달이야기,자동차야영장,37.213017,127.958008,충북 제천시 백운면 덕동리 산 21-9,15,0,0,0,2,4,2,https://blog.naver.com/byeoldal275
별빛두레펜션 캠핑장,자동차야영장,35.855211,127.4279539,전라북도 진안군 석원로 24-0 석정휴게소 ,15,0,0,0,2,2,2,http://xn--hu1bo4emykn4s.com/
산애 캠핑장,일반야영장,35.6413353,127.7413647,경상남도 함양군 서하면 우전길 112-2 ,15,0,0,0,2,2,6,https://cafe.naver.com/sanaecamp
살둔산장 ,자동차야영장,37.8314424,128.3691494,강원도 홍천군 살둔길 30-15 ,15,0,0,0,2,2,2,http://www.saldun.co.kr/
삼산야영장 ,자동차야영장,37.8458423,128.6808832,강원도 강릉시 연곡면 삼산리 ,15,0,0,0,1,1,2,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=1551&viewType=read04
샬롬빌리지 캠핑장 ,자동차야영장,37.6979763,128.4757375,강원도 평창군 용평면 노동리 ,15,0,0,0,1,1,2,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=1605&viewType=read01
서천 금빛노을 서울캠핑장,일반야영장,36.0455656,126.7189118,충청남도 서천군 장선리 128-3,15,0,0,0,2,2,1,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=1628&viewType=read01
선달산계곡캠핑장,일반야영장,37.0357641,128.6765205,영주시 부석면 영부로 890번길 61-50,15,0,0,0,2,2,2,https://sundalsan.modoo.at/
소석힐링캠핑장,일반야영장,35.404333,129.0516327,경상남도 양산시 상북면 소석리 163번지,15,0,0,0,1,1,1,http://xn--9y2bp8krjg2sjvjxnk61d.com/
승봉도 캠핑장,"자동차야영장,카라반",37.1686608,126.3087528,인천광역시 옹진군 자월면 승봉리 ,15,0,0,3,1,1,1,https://seungbongcamp.modoo.at/
염포야영장,일반야영장,34.4306314,127.4944808,전라남도 고흥군 봉래면 우주로 3844 ,15,0,0,0,1,1,1,https://reservation.knps.or.kr/information/campInfo.action?seqId=B091003
참숯골 캠핑장 ,일반야영장,36.9514895,126.6232276,충청남도 당진시 고대면 보덕포로 545 ,15,0,0,0,2,2,1,https://www.gocamping.or.kr/bsite/camp/info/read.do?c_no=2848&viewType=read01
청옥야영장,일반야영장,36.947636,128.997699,경상북도 봉화군 소천면 현동리 744-6,15,0,0,0,2,1,1,https://www.foresttrip.go.kr/indvz/main.do?hmpgId=0183
춘천Believing(빌리빙)캠핑장 ,자동차야영장,37.9767025,127.6278216,강원도 춘천시 사북면 지암리 ,15,0,0,0,1,1,1,http://www.cccamp.kr/
툇골 캠핑장 ,자동차야영장,37.9353909,127.6578864,강원도 춘천시 툇골길 413-52 ,15,0,0,0,1,1,1,https://booking.naver.com/booking/3/bizes/496339
파피루스 캠핑장 ,"일반야영장,글램핑",38.0267957,127.2820284,경기도 포천시 영중면 성동리 75 ,15,0,10,0,2,3,2,https://papyruscamp.modoo.at/
피플앤독 힐링캠핑장 ,일반야영장,36.6453291,126.872565,충남 예산군 신양면 귀곡동절길 28-1,15,0,0,0,1,1,1,https://cafe.naver.com/doghealingcamp
하늘바다캠핑장,"일반야영장,글램핑",34.6916236,126.1465239,전라남도 신안군 안좌면 존포길 234-63,15,0,5,0,2,2,4,https://cafe.naver.com/polarisleisure
